year,month,region,families,funding,low_income_families,pct_served
2011,1,Mid-West,724830,"$63,050,270",1246826,58.13
2011,1,North,1361905,"$141,840,021",2095985,64.98
2011,1,Northeast,6515825,"$634,183,529",8380881,77.75
2011,1,South,1058840,"$91,296,718",1884472,56.19
2011,1,Southeast,3189945,"$279,860,083",6486791,49.18
2011,2,Mid-West,725048,"$63,428,408",1246826,58.15
2011,2,North,1375516,"$143,668,534",2095985,65.63
2011,2,Northeast,6592649,"$642,792,886",8380881,78.66
2011,2,South,1046875,"$91,251,540",1884472,55.55
2011,2,Southeast,3206225,"$283,563,246",6486791,49.43
2011,3,Mid-West,723121,"$63,216,043",1246826,58
2011,3,North,1375282,"$143,735,134",2095985,65.62
2011,3,Northeast,6602456,"$643,798,585",8380881,78.78
2011,3,South,1043688,"$90,846,518",1884472,55.38
2011,3,Southeast,3200129,"$282,710,749",6486791,49.33
2011,4,Mid-West,735427,"$78,184,090",1246826,58.98
2011,4,North,1386426,"$173,339,683",2095985,66.15
2011,4,Northeast,6646941,"$761,314,251",8380881,79.31
2011,4,South,1056305,"$111,640,900",1884472,56.05
2011,4,Southeast,3233377,"$347,110,937",6486791,49.85
2011,5,Mid-West,730186,"$77,940,650",1246826,58.56
2011,5,North,1378447,"$172,976,459",2095985,65.77
2011,5,Northeast,6621937,"$760,093,841",8380881,79.01
2011,5,South,1038570,"$110,325,032",1884472,55.11
2011,5,Southeast,3217730,"$346,432,053",6486791,49.6
2011,6,Mid-West,755378,"$80,475,525",1246826,60.58
2011,6,North,1374913,"$172,794,583",2095985,65.6
2011,6,Northeast,6617093,"$760,344,959",8380881,78.95
2011,6,South,1035380,"$110,266,850",1884472,54.94
2011,6,Southeast,3216796,"$347,033,945",6486791,49.59
2011,7,Mid-West,722309,"$77,331,563",1246826,57.93
2011,7,North,1374382,"$172,914,931",2095985,65.57
2011,7,Northeast,6612320,"$759,852,931",8380881,78.9
2011,7,South,1035615,"$110,290,022",1884472,54.96
2011,7,Southeast,3207413,"$346,189,148",6486791,49.45
2011,8,Mid-West,694749,"$76,362,377",1246826,55.72
2011,8,North,1359916,"$175,225,591",2095985,64.88
2011,8,Northeast,6578514,"$770,792,100",8380881,78.49
2011,8,South,1017390,"$110,718,060",1884472,53.99
2011,8,Southeast,3154468,"$349,130,919",6486791,48.63
2011,9,Mid-West,708395,"$80,794,197",1246826,56.82
2011,9,North,1453877,"$194,584,364",2095985,69.36
2011,9,Northeast,6740659,"$809,785,312",8380881,80.43
2011,9,South,1029353,"$116,431,502",1884472,54.62
2011,9,Southeast,3247188,"$372,092,098",6486791,50.06
2011,10,Mid-West,709158,"$80,824,687",1246826,56.88
2011,10,North,1453251,"$194,150,662",2095985,69.33
2011,10,Northeast,6718914,"$807,045,074",8380881,80.17
2011,10,South,1029296,"$116,469,716",1884472,54.62
2011,10,Southeast,3261191,"$373,299,872",6486791,50.27
2011,11,Mid-West,716353,"$82,230,677",1246826,57.45
2011,11,North,1468994,"$197,016,876",2095985,70.09
2011,11,Northeast,6798638,"$818,733,200",8380881,81.12
2011,11,South,1035398,"$118,117,012",1884472,54.94
2011,11,Southeast,3287537,"$378,408,882",6486791,50.68
2011,12,Mid-West,717897,"$82,879,393",1246826,57.58
2011,12,North,1476927,"$198,490,505",2095985,70.46
2011,12,Northeast,6825678,"$823,986,296",8380881,81.44
2011,12,South,1037607,"$118,891,921",1884472,55.06
